epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,346.932,0.23969,0.83032,0.9824,0.89455,0.71429,0.7606,0.62836,1.70187,2.48997,2.58667,0.000358238,0.000358238,0.000358238
72,351.685,0.27866,0.82559,1.02784,0.91703,0.77528,0.78558,0.69782,1.74901,2.48387,2.58511,0.000351639,0.000351639,0.000351639
73,356.516,0.27811,0.7703,1.04051,0.91703,0.77528,0.78558,0.69782,1.74901,2.48387,2.58511,0.000344709,0.000344709,0.000344709
74,361.457,0.24564,0.77057,0.97593,0.91703,0.77528,0.78558,0.69782,1.74901,2.48387,2.58511,0.000337449,0.000337449,0.000337449
75,366.203,0.2631,0.79557,0.96871,0.81136,0.78467,0.7856,0.67636,1.8575,2.36337,2.76093,0.000329859,0.000329859,0.000329859
76,371.069,0.22299,0.74449,0.96916,0.81136,0.78467,0.7856,0.67636,1.8575,2.36337,2.76093,0.000321939,0.000321939,0.000321939
77,375.879,0.2929,1.01677,0.98349,0.81136,0.78467,0.7856,0.67636,1.8575,2.36337,2.76093,0.000313689,0.000313689,0.000313689
78,380.691,0.27156,0.80174,1.0396,0.71378,0.76862,0.53687,0.42051,1.82567,2.54935,2.78332,0.000305109,0.000305109,0.000305109
79,385.753,0.27975,0.72522,1.02613,0.71378,0.76862,0.53687,0.42051,1.82567,2.54935,2.78332,0.000296199,0.000296199,0.000296199
80,390.493,0.23926,0.77501,0.9674,0.71378,0.76862,0.53687,0.42051,1.82567,2.54935,2.78332,0.000286959,0.000286959,0.000286959
81,395.283,0.26755,0.70209,1.04514,0.73053,0.72035,0.53688,0.43052,1.64756,2.52822,2.62146,0.000277389,0.000277389,0.000277389
82,400.069,0.23459,0.71819,0.92268,0.73053,0.72035,0.53688,0.43052,1.64756,2.52822,2.62146,0.000267488,0.000267488,0.000267488
83,404.777,0.29364,0.86947,0.99482,0.73053,0.72035,0.53688,0.43052,1.64756,2.52822,2.62146,0.000257258,0.000257258,0.000257258
84,409.667,0.25028,0.73071,0.952,0.70955,0.71429,0.52187,0.43475,1.57091,2.66791,2.6374,0.000246698,0.000246698,0.000246698
85,414.423,0.20173,0.73818,0.97376,0.70955,0.71429,0.52187,0.43475,1.57091,2.66791,2.6374,0.000235807,0.000235807,0.000235807
86,419.313,0.23396,0.7815,1.00743,0.70955,0.71429,0.52187,0.43475,1.57091,2.66791,2.6374,0.000224587,0.000224587,0.000224587
87,424.019,0.17534,0.69497,0.95265,0.70955,0.71429,0.52187,0.43475,1.57091,2.66791,2.6374,0.000213036,0.000213036,0.000213036
88,428.841,0.22989,0.74767,0.97472,0.70499,0.71429,0.51188,0.43589,1.46434,2.67749,2.48056,0.000201155,0.000201155,0.000201155
89,433.769,0.22612,0.83481,0.99776,0.70499,0.71429,0.51188,0.43589,1.46434,2.67749,2.48056,0.000188944,0.000188944,0.000188944
90,438.616,0.24745,0.7953,0.97995,0.70499,0.71429,0.51188,0.43589,1.46434,2.67749,2.48056,0.000176404,0.000176404,0.000176404
91,443.28,0.6617,2.47485,1.31785,0.70499,0.71429,0.51188,0.43589,1.46434,2.67749,2.48056,0.000163533,0.000163533,0.000163533
92,448.029,0.68906,2.18187,1.51487,0.70674,0.71429,0.51186,0.43668,1.55554,2.62762,2.59344,0.000150332,0.000150332,0.000150332
93,453.057,0.44142,1.94845,1.22194,0.70674,0.71429,0.51186,0.43668,1.55554,2.62762,2.59344,0.000136801,0.000136801,0.000136801
94,457.745,0.31136,1.66993,1.1402,0.70674,0.71429,0.51186,0.43668,1.55554,2.62762,2.59344,0.00012294,0.00012294,0.00012294
95,462.341,0.52384,2.24995,1.24128,0.70674,0.71429,0.51186,0.43668,1.55554,2.62762,2.59344,0.000108748,0.000108748,0.000108748
96,467.004,0.38678,2.02171,1.10252,0.71541,0.71429,0.51186,0.43674,1.43467,2.53413,2.40658,9.42272e-05,9.42272e-05,9.42272e-05
97,471.642,0.35919,1.76367,1.10693,0.71541,0.71429,0.51186,0.43674,1.43467,2.53413,2.40658,7.93759e-05,7.93759e-05,7.93759e-05
98,476.56,0.3447,1.79206,1.08509,0.71541,0.71429,0.51186,0.43674,1.43467,2.53413,2.40658,6.41945e-05,6.41945e-05,6.41945e-05
99,481.311,0.23737,1.53046,1.05689,0.71541,0.71429,0.51186,0.43674,1.43467,2.53413,2.40658,4.86831e-05,4.86831e-05,4.86831e-05
100,486.024,0.35198,1.67959,1.08833,0.7252,0.71429,0.51184,0.43834,1.36898,2.45539,2.31046,3.28416e-05,3.28416e-05,3.28416e-05
